Date,Year,Julian_Date,time,Site,Cl,NO3,PO4,SO4 ,TN,TP,stage,temperature ,dox,pH,clarity,Turbidity ,Ecoli ,"1,7-Dimethylxanthine",Acetaminophen,Amphetamine ,Caffeine,Carbamazepine,Cimetidine ,Cotinine,Diphenhydramine,MDMA,Methamphetamine,Morphine ,Sulfadimethoxine ,Sulfamethoxazole,Thiabendazole ,d15N-NO3 ,d18O-NO3  ,Ca,HCO3,K ,Mg,Na ,,
15-Oct-98,1998,288,NA,GFCP,33.47,1.12,24.2,20.74,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Oct-98,1998,288,NA,GFGB,21.48,1.66,4,4.54,,,,,,,NA,,,,,,,,,,,,,,,,,,,14.12,32.02,1.5,5.69,7.58,,
15-Oct-98,1998,288,NA,GFGL,109.68,2.71,70.9,30.8,,,,,,,NA,,,,,,,,,,,,,,,,,,,49.27,111.74,2.38,41.75,25.72,,
15-Oct-98,1998,288,NA,GFVN,34.13,1.27,11.3,10.37,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Oct-98,1998,288,NA,POBR,2.5,0.01,2.2,0.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,0.73,9.91,0.99,0.61,2.2,,
21-Oct-98,1998,294,NA,GFCP,38.2,1.10,16.4,18.56,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct-98,1998,294,NA,GFGB,24.53,1.87,4,4.98,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct-98,1998,294,NA,GFGL,108.24,2.51,46.8,30.21,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct-98,1998,294,NA,GFVN,38,1.23,3.7,9.88,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct-98,1998,294,NA,POBR,2.9,0.01,4.2,0.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-98,1998,303,NA,GFCP,37.97,1.14,4.4,22.41,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-98,1998,303,NA,GFGB,24.53,1.76,2,4.77,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-98,1998,303,NA,GFGL,114.4,2.41,32.4,29.95,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-98,1998,303,NA,GFVN,36.15,1.03,4.9,9.81,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-98,1998,303,NA,POBR,2.41,0.01,9.3,0.9,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-98,1998,307,NA,GFCP,38.24,1.01,7.5,19.61,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-98,1998,307,NA,GFGB,24.21,1.85,4.8,4.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-98,1998,307,NA,GFGL,116.26,2.55,27.6,30.65,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-98,1998,307,NA,GFVN,41.46,1.27,8.3,10.1,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-98,1998,307,NA,POBR,2.41,0.01,9.1,0.87,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-98,1998,314,NA,GFCP,53.95,1.13,3,19.44,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-98,1998,314,NA,GFGB,24.42,1.86,4.2,4.89,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-98,1998,314,NA,GFGL,121.31,2.72,60,30.85,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-98,1998,314,NA,GFVN,38.52,1.37,11.4,10.21,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-98,1998,314,NA,POBR,2.4,0.01,3.7,0.91,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-98,1998,323,NA,GFCP,40.87,0.99,30.4,19.86,1.52,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-98,1998,323,NA,GFGB,24.53,1.71,9.5,4.78,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-98,1998,323,NA,GFGL,109.17,2.69,18.7,30.16,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-98,1998,323,NA,GFVN,37.14,1.11,8.1,10.29,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-98,1998,323,NA,POBR,2.36,0.01,4,0.85,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-98,1998,328,NA,DRKR,100.61,0.05,11.8,28.51,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-98,1998,328,NA,GFCP,37.85,1.05,8.7,19.05,1.63,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-98,1998,328,NA,GFGB,24.62,1.69,2.7,4.77,,,,,,,NA,,,,,,,,,,,,,,,,,,,15.51,35.16,1.71,6.63,8.58,,
24-Nov-98,1998,328,NA,GFGL,109.48,2.67,54.5,30.11,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-98,1998,328,NA,GFVN,35.93,1.15,6.8,10.78,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-98,1998,328,NA,POBR,2,0.01,6.2,0.93,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,BARN,19.68,1.36,3.1,1.8,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,DRKR,111.53,0.30,5.5,33.81,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,GFCP,37.27,1.04,3.3,18.93,1.4,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,GFGB,24.62,1.81,5.8,4.92,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,GFGL,103.12,2.66,20,29.26,,,,,,,NA,,,,,,,,,,,,,,,,,,,47.83,108.46,2.08,36.49,23.58,,
4-Dec-98,1998,338,NA,GFVN,36.28,1.26,4.9,9.87,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec-98,1998,338,NA,POBR,2.38,0.01,3.1,0.89,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,BARN,19.02,1.21,4.9,2.08,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,DRKR,38.73,0.29,8.4,18.09,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,GFCP,29.62,0.84,6.3,14.91,1.18,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,GFGB,18.01,1.31,5.9,5.68,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,GFGL,93.8,2.96,19.8,29.02,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,GFVN,25.52,0.71,7.5,10.3,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-98,1998,344,NA,POBR,2.5,0.01,5.6,1.1,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,BARN,19.27,1.91,2.9,1.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,DRKR,137.33,0.37,6.5,32.99,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,GFCP,35.37,1.36,20.9,18.77,1.46,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,GFGB,24.07,2.50,4.2,5.25,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,GFGL,108.67,4.15,16.1,28.47,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,GFVN,35.88,1.61,9.8,11.97,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-98,1998,352,NA,POBR,2.23,0.01,9,0.98,0.1,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,BARN,19.38,1.82,14.6,1.88,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,DRKR,139.6,0.50,8.1,32.22,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,GFCP,37.83,1.55,20.2,20.21,2.43,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,GFGB,24.53,2.34,16.6,5.21,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,GFGL,91.86,3.40,11.1,27.56,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,GFVN,35.08,1.43,17.9,11.89,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-98,1998,356,NA,POBR,2.29,0.01,4.8,1.08,0.1,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,BARN,34.06,1.90,2.3,2.1,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,DRKR,1460.02,1.63,30,37.23,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,GFCP,393,1.74,6.8,21.63,2.06,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,GFGB,111.1,2.52,6,7.04,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,GFGL,216,3.77,31.1,28.35,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,GFVN,187,2.04,29.5,11.9,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-98,1998,364,NA,POBR,2.34,0.01,29.8,1.35,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,BARN,48.82,1.95,,2.59,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
